	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	aastatel	3316	-1	356.5743609808495	0.0024220081964397293	5105	1.0	10.762373249613852
1	aastad	1070	-1	161.46293745169646	0.8860707831387312	2499	1.0	11.833335189158287
2	aastal	7818	-1	309.60751572175	0.00834500929753751	32396	1.0	7.987153053657747
3	aasta	1576	-1	481.8502864838518	0.003650523275434593	18419	1.0	8.859413705595248
4	aastast	1215	-1	382.0214194591298	0.008211534754531718	5612	1.0	10.565202999859613
5	aastate	1227	-1	199.3613489058868	1.3253266551382799	1227	1.0	12.859340810916159
6	aastani	1693	-1	347.66043097318266	0.05328360067580596	1693	1.0	12.134791114954908
7	aastat	3141	-1	499.36346258303325	0.03112392073871095	3141	1.0	11.462642591496625
8	aadlikud	165	-1	-55.524878019826	0.8944675158878619	165	0.0	15.648154818628273
9	aastaid	316	-1	256.8775163484214	3.3109541322705867	316	1.0	14.810042501005166
10	aastail	450	-1	247.86483132943818	0.7605753305921553	703	1.0	13.638115146651707
11	aadressil	411	-1	53.720054482226445	0.7552598473542866	411	1.0	14.441972624473083
12	aastaks	896	-1	271.6066965213948	3.0271372559862875	896	1.0	13.26314804111753
13	aastapreemia	224	-1	-259.5186257793198	0.9553951353632978	224	1.0	15.318189404675492
14	aastas	505	-1	290.82168300394335	5.498263910737368	505	1.0	14.148977021198219
15	aatomite	103	-1	-32.26611638805598	9.340802701931555	103	1.0	16.431530877751435
16	aastaraamat	130	-1	-111.0380693038	3.015843792145069	130	1.0	16.09854759435508
17	aastapäeva	166	-1	99.62089148170953	1.357312537101378	166	1.0	15.397260975666692
18	aastaga	157	-1	252.15602931505393	7.625830710313882	157	1.0	15.828189847715425
19	aastane	169	-1	335.52264762289616	3.7624846591046577	169	1.0	15.714118081006632
20	aastatest	192	-1	192.70847975624133	3.5707005156824985	192	1.0	15.357183536291355
21	abil	1715	-1	252.36302621485152	0.013025317321702428	1715	1.0	12.385456274754064
22	abikaasa	1106	-1	247.17632422988794	0.0324449624296669	1106	1.0	13.016926945730818
23	abi	551	-1	237.6343396936088	6.711484724294036	551	1.0	14.015626634655062
24	abielus	696	-1	220.46528474881353	1.646604368356591	696	1.0	13.686955750024106
25	abiellus	1018	-1	270.8995303247006	0.5605872375557888	1018	1.0	13.139032259726715
26	abielu	365	-1	164.00541520627013	6.931133617113715	365	1.0	14.616270757608486
27	abiga	187	-1	147.92466534813795	3.61442436987066	187	1.0	15.577381744214891
28	abiks	107	-1	196.12885385787163	7.909964413286369	107	1.0	16.377083093729063
29	absoluutne	136	-1	135.9252118278311	12.133045182508582	136	1.0	16.00268757894756
30	abiellusid	105	-1	233.19216682511288	11.45243986220587	105	1.0	16.40405014132933
31	ad	145	-1	597.2199665173191	0.3721772289339148	145	1.0	15.94214603701251
32	adramaad	135	-1	-44.48685118955782	4.498701439963447	135	1.0	16.04450775464219
33	advokaat	221	-1	4.978805070349634	0.17728728767931123	221	1.0	15.324615673834925
34	admiral	102	-1	306.5673030751934	2.775190518438524	102	1.0	16.431530877751435
35	aega	1392	-1	332.8474556716116	2.6177525257159173	1392	1.0	12.686955750024106
36	aeg	602	-1	360.224633588375	1.7393824162303275	807	1.0	13.433265929122184
37	aeglaselt	120	-1	-33.07400853084151	7.124772604306539	120	1.0	16.213107358617936
38	aegade	420	-1	294.0054663406291	0.1395727205863777	420	1.0	14.407456742772577
39	aed	108	-1	204.25950906510886	7.622159154326828	108	1.0	16.337554729542422
40	aegadel	144	-1	173.02250602412172	9.532634304629433	144	1.0	15.94214603701251
41	aga	1423	-1	426.7291149056847	0.0034386579553797496	7710	1.0	10.214971546809721
42	aina	117	-1	212.82178581375982	0.08109104373215814	117	1.0	16.22508000028401
43	aine	415	-1	160.3500281415412	2.9120592559676575	415	1.0	14.421164162193177
44	ainus	583	-1	298.8417412998326	0.15496842942533207	583	1.0	13.942146037012511
