	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	about	198	-1	590.3895864562602	1.9857404226303224	106	1.0	16.31821434057361
1	acil	141	-1	58.281848542157846	1.887025885283947	141	1.0	15.936651545845857
2	acı	170	-1	147.7217643587222	5.847408880906946	170	1.0	15.66013391064844
3	adıyla	1956	-1	505.87902601741536	0.13052389916265741	1956	1.0	12.148289339131301
4	adı	1364	-1	488.6278470685151	0.03197103696206475	4052	1.0	11.006580580138186
5	adet	1118	-1	400.5654477553808	0.0345378572904036	1118	1.0	12.958404344374145
6	adlı	5427	-1	404.09481357584065	0.00720800622060003	5427	1.0	10.677803552552437
7	adını	960	-1	550.8598525978363	0.02711553656502754	1466	1.0	12.566762412507325
8	adlandırılan	459	-1	202.73282805586547	0.3950157453463776	459	1.0	14.240908614406164
9	adalet	1008	-1	-29.778601419030654	2.1409061506109417	106	1.0	16.344931678949393
10	adlandırılır	354	-1	204.52046905954674	0.21527422340534164	354	1.0	14.614723450958495
11	aday	555	-1	322.00010930565986	0.9711822568888185	879	1.0	13.300129037702073
12	adım	308	-1	258.4228840578842	5.746000316235926	308	1.0	14.810274260076303
13	adıdır	146	-1	136.63560785240028	5.1823082590756355	146	1.0	15.886726320514175
14	ada	278	-1	363.3060648228821	0.09939039502451984	259	1.0	15.064030852322086
15	adına	901	-1	494.15351112525764	0.1742625790383455	901	1.0	13.264624683379973
16	adında	766	-1	369.22688980733454	0.004654982050146709	766	1.0	13.503315897847607
17	adamın	127	-1	155.57890623632636	6.071348710322943	127	1.0	16.064030852322084
18	adamı	733	-1	280.17927551314824	3.6285884619816264	733	1.0	13.555017204834227
19	adamları	240	-1	244.12952896946396	6.59877258837223	240	1.0	15.173509329120577
20	adayı	366	-1	293.72131588422354	2.0040394477037298	366	1.0	14.555017204834227
21	adam	534	-1	428.42278043469867	0.21374845026386372	440	1.0	14.275827030609392
22	ad	249	-1	483.5984968673662	0.6673751999391805	249	1.0	15.042004545992084
23	adının	255	-1	416.18335237802864	0.31664488057467144	255	1.0	15.08639866535054
24	adlandırılmıştır	102	-1	157.97262491617866	4.427320309713775	102	1.0	16.399898138167323
25	adaylık	106	-1	67.61426124239603	5.146910451493174	106	1.0	16.344931678949393
26	adaya	117	-1	190.0695408164924	7.787412321465647	117	1.0	16.203755615988698
27	adanın	122	-1	131.96946621183125	6.3266155309364445	122	1.0	16.1438841600113
28	adlandırıldı	113	-1	185.45974276126384	1.9918612523284633	113	1.0	16.253508651185797
29	adları	181	-1	209.5369831814474	8.668331530871312	181	1.0	15.524156241129468
30	adındaki	182	-1	272.1180836406653	3.7235257032808367	182	1.0	15.555017204834227
31	after	204	-1	604.4362539714126	3.1856133902999795	105	1.0	16.35847821078734
32	ahşap	184	-1	-68.30969054684086	2.6860622812224473	184	1.0	15.555017204834227
33	ailesi	399	-1	400.5900183351787	6.045970793109333	619	1.0	13.803310312326536
34	aile	429	-1	426.1004768721991	0.20755272255401344	590	1.0	13.876945299721589
35	ait	2121	-1	468.09371973828917	0.016095525700255697	2121	1.0	12.028406942591364
36	ailesinin	354	-1	277.0561956230644	3.267438628663451	354	1.0	14.61066523438414
37	ailenin	322	-1	225.78991983396682	5.577498509646943	322	1.0	14.751008310656614
38	ailesiyle	106	-1	201.2362510937279	2.2094548765991657	106	1.0	16.344931678949393
