	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	af	2188	-1	584.9427869572144	0.0023509760149898287	43503	1.0	7.71332957701615
1	aftur	2390	-1	432.1567167969206	0.006625743617733497	4857	1.0	10.87582335238089
2	afskipti	105	-1	-64.12938426695364	7.561929993402391	105	1.0	16.396423502756118
3	afbrigði	471	-1	13.918648995162407	4.8390270021057935	471	1.0	14.238647583979922
4	afmæli	233	-1	-36.684426589681564	3.2068600467857884	233	1.0	15.253979237735914
5	afla	188	-1	124.35298008135908	8.946821671851138	188	1.0	15.562101533098247
6	afrek	128	-1	68.0055569043313	2.0896927694557235	128	1.0	16.113116701896065
7	afleiðingum	325	-1	-330.0605378731895	4.651760328366207	325	1.0	14.771197131821236
8	afstöðu	150	-1	-14.8062500496893	6.949374723434448	150	1.0	15.88593921799424
9	aftan	180	-1	65.4227482702283	1.3471773339642419	180	1.0	15.61654931712062
10	afar	561	-1	71.21355749413723	2.8903341622169854	561	1.0	13.987352845239089
11	afbrigðið	137	-1	-39.11230016531816	4.922353741896414	137	1.0	16.01581950054115
12	afleiðingar	157	-1	-174.08987042694807	2.0015859017326574	157	1.0	15.811461002034962
13	afkomendur	156	-1	165.370746439651	3.1304180136857886	156	1.0	15.82972320842769
14	allir	655	-1	254.09023738527375	2.946090089299462	1100	1.0	13.01974520375495
15	alltaf	762	-1	141.29181139184192	0.06337305025766936	762	1.0	13.545028019739304
16	allra	1056	-1	377.4634526944186	0.05576093956431186	1056	1.0	13.078584295936635
17	aldar	1591	-1	214.6852407514011	0.3851108912957041	1591	1.0	12.061623190154274
18	aldri	685	-1	384.6816169056662	0.0491624151899648	685	1.0	13.702279191146506
19	algjörlega	136	-1	-86.11910200600491	8.167843031532625	136	1.0	16.02631187435879
20	almennings	274	-1	-37.087842372082655	1.1832212305281067	274	1.0	15.021056148907297
21	almennt	448	-1	128.17629676148448	6.328866229972304	641	1.0	13.79566902999137
22	aldrei	1368	-1	59.60918302227101	3.995095204256954	1368	1.0	12.701228047172217
23	alvarlega	113	-1	69.68517479704506	3.7784716534403575	113	1.0	16.291453943154576
24	alveg	432	-1	134.12887117430787	0.1465905628775688	432	1.0	14.366120742592592
25	allt	1246	-1	496.5496091986866	0.01448186528211148	3951	1.0	11.170511275174038
26	al	431	-1	552.2082205862722	0.28508052034219405	529	1.0	14.066352234560142
27	allar	654	-1	231.87288407649436	3.7649369115158633	1052	1.0	13.084054236293602
28	aldir	236	-1	234.36131235746808	2.454987894049135	236	1.0	15.229526194011374
29	allan	569	-1	485.4470497276233	0.08325340376925608	816	1.0	13.448386924377568
30	alla	1385	-1	377.693762654852	0.013928842285659153	1385	1.0	12.685552104741056
31	allur	184	-1	143.17507161955103	6.852396464866141	184	1.0	15.585185146211288
32	alls	565	-1	270.8000161230504	3.040346808084045	886	1.0	13.300976717273084
33	algeng	253	-1	140.56094980425348	3.748930806934598	253	1.0	15.135659270547153
34	alda	105	-1	167.9462283054903	4.334604284309205	105	1.0	16.396423502756118
35	allri	188	-1	232.23082446691677	7.2461599010102296	188	1.0	15.562101533098247
36	alvöru	142	-1	-34.713205548025094	7.838111383814208	142	1.0	15.964472620540928
37	alþingismaður	315	-1	-39.601115011632224	4.985603559206402	315	1.0	14.820563209142215
38	aldarinnar	209	-1	148.57153041644708	7.3070126800445845	209	1.0	15.199531453713538
39	alþjóðlega	178	-1	-21.90601057013794	5.262648336673051	178	1.0	15.64052818005506
40	algengt	267	-1	177.72922950055573	5.083238832455761	265	1.0	15.06906152181813
41	aldurs	108	-1	24.319025613818457	5.285271662252921	108	1.0	16.35615963254239
42	almenna	162	-1	86.75748671276756	8.190923149203076	162	1.0	15.77561580308824
43	aldur	265	-1	174.94880279577714	2.619916145925252	265	1.0	15.06906152181813
44	aldamótin	231	-1	4.929315384849839	2.0273331237827867	231	1.0	15.266362962191746
45	alþjóðleg	103	-1	-23.382501800158398	7.794846368067473	103	1.0	16.423904239178224
46	almenn	121	-1	109.38622645131002	2.421273566105149	121	1.0	16.19360661975643
47	almenningi	194	-1	-1.6892635335229613	5.2608250908015926	194	1.0	15.517013643569708
48	algengasta	155	-1	77.80315209034295	0.5998155997615428	155	1.0	15.83894173845707
49	algengur	137	-1	66.1374263752223	6.223090802666045	137	1.0	16.01581950054115
50	almenning	107	-1	-1.2366138453415814	3.476462170899471	107	1.0	16.369456455155852
51	almennum	164	-1	47.1463117505649	4.6911744046502	164	1.0	15.758021743073503
52	alfarið	134	-1	-186.8586262632285	14.743323148186526	134	1.0	16.047528360268487
53	alþjóðlegum	145	-1	-77.99606024152716	5.960355199616531	145	1.0	15.9345193984393
54	amtmaður	146	-1	-98.59510581472033	5.031026068615587	146	1.0	15.924671612482953
55	am	140	-1	549.066329735974	2.1485102528158415	140	1.0	15.984792604920525
56	annað	800	-1	327.68861428908696	3.081702894290453	1708	1.0	12.384563347546056
57	annars	1666	-1	501.14240240253423	0.007499512107676375	3473	1.0	11.359886993699428
58	anda	238	-1	190.84995567241046	0.17777853983650613	238	1.0	15.22347714933857
59	and	2516	-1	609.99786821974	0.1707197462327804	4980	1.0	10.832309971819774
60	annar	499	-1	355.9890957127272	4.1992312659950635	684	1.0	13.700177668501219
61	an	302	-1	641.619727817496	1.3260638567139933	260	1.0	15.096437960749434
62	annarra	1004	-1	215.02355271238886	0.16123744945446333	1004	1.0	13.151364171253027
63	annan	465	-1	452.9692480408065	0.017582111061462347	465	1.0	14.260157812665039
64	annarri	462	-1	233.08578246803754	0.21549294471251376	462	1.0	14.269475574059083
65	andstæðinga	103	-1	-22.40600125678054	5.659616917082407	103	1.0	16.316989035261713
66	annaðhvort	236	-1	-120.31609258887508	1.3772137021267061	236	1.0	15.23560070842106
67	andlát	178	-1	79.18259532131897	5.438100034601233	178	1.0	15.64052818005506
68	annast	109	-1	113.96155656715085	7.969457107946413	109	1.0	16.342984243794657
69	andstöðu	194	-1	2.480128655702834	5.151073486534591	194	1.0	15.517013643569708
70	annarrar	106	-1	152.28437424935834	7.373136882512075	106	1.0	16.382876970918172
71	apríl	3185	-1	405.25570392011343	0.001144402454154723	3185	1.0	11.319003128902933
72	are	201	-1	666.4551235351264	0.9654531463704188	160	1.0	15.784493954434692
73	arkitekt	177	-1	210.57630276117607	0.22372152217708055	177	1.0	15.64861052635292
74	arabísku	173	-1	110.18631128105623	5.159403896056158	173	1.0	15.681400461470592
75	arabíska	192	-1	91.74400274286508	4.724713050760329	192	1.0	15.524431115132192
76	as	248	-1	662.0925238917574	0.4831697335791604	265	1.0	15.047528360268487
77	atriði	222	-1	2.23585428179158	5.134792662418641	222	1.0	15.323444057399014
78	atburðir	136	-1	-108.6007444356947	4.1612771083326905	136	1.0	16.02631187435879
79	at	475	-1	633.758545171634	0.5459405245163058	594	1.0	13.897931764530533
80	atkvæði	330	-1	-14.557413403989498	2.7445476756402942	330	1.0	14.300976717273084
81	atkvæða	305	-1	-115.32850690004598	3.5748150874845317	305	1.0	14.83894173845707
82	atburði	120	-1	81.73927765742698	6.818115244309108	120	1.0	16.205480720044726
83	athygli	570	-1	31.23469441631211	0.08858588361486398	570	1.0	13.966997021956475
84	auk	1014	-1	249.29702478941448	0.7509359534198043	1793	1.0	12.315379782400056
85	austur	683	-1	279.93322456357583	5.041722361210289	545	1.0	14.01843544874816
86	austurhluta	193	-1	40.61083926106634	3.1398421683459703	193	1.0	15.524431115132192
87	augum	235	-1	134.14400228752555	3.826304678745726	235	1.0	15.23560070842106
88	aukið	174	-1	160.70238631268273	8.003761716272638	174	1.0	15.67313284548699
89	auki	450	-1	118.80826983461638	2.112741102145778	450	1.0	14.30416499490413
90	aukist	119	-1	-62.150968509672836	5.710501079799748	119	1.0	16.2174533617108
91	austan	558	-1	242.99162000446435	1.3679437903573863	558	1.0	13.995060940374351
92	auga	138	-1	200.36506532397928	1.416564924230772	138	1.0	15.974596837814635
93	austri	336	-1	168.30433330307636	1.2445525880237776	336	1.0	14.710716028295145
94	auðvelt	173	-1	-39.06219896297218	0.14810317907263013	173	1.0	15.681400461470592
95	aukahlutverki	319	-1	-342.9324349515542	1.4275882597954295	319	1.0	14.797914470197014
96	auka	496	-1	72.67091548819927	0.5507398995067624	496	1.0	14.164342025251235
