	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	aantal	1075	-1	464.05351569946396	0.006269176579884669	3362	1.0	11.909129725619373
1	aan	2899	-1	584.8813111225887	0.007616683033498321	40105	1.0	8.337104998446609
2	aarde	1151	-1	324.79395260589195	0.038947194491897805	1234	1.0	13.355385955508936
3	aanvaar	2163	-1	344.69483189665624	0.6850704991053514	2163	1.0	12.5493613194293
4	aangedui	705	-1	297.6785061191804	0.15264010916149823	705	1.0	14.165943955973773
5	aangebied	1235	-1	386.06428987504006	0.09189089868089427	1235	1.0	13.358880575806802
6	aangestel	1513	-1	251.75554516329848	0.5707670736193696	1513	1.0	13.06640828242286
7	aandag	868	-1	253.38099181836893	0.07232488815025304	868	1.0	13.866638770047082
8	aard	789	-1	264.7091584750119	1.0110759855713105	789	1.0	14.005801517718707
9	aangesien	833	-1	193.54999409418022	0.21204973191238582	1523	1.0	13.054081532747423
10	aansienlik	454	-1	227.47945907958027	1.4641825285317613	454	1.0	14.801787625697115
11	aanwesig	205	-1	119.23772350096817	4.498393703088528	205	1.0	15.93107064264208
12	aanstelling	200	-1	210.38692243678383	6.670711909532547	200	1.0	15.980458669604245
13	aangekoop	243	-1	147.84838337248607	2.6941386677110146	243	1.0	15.700773023220286
14	aangebring	410	-1	234.23764349570533	1.463276594877243	410	1.0	14.945009833599954
15	aangewend	422	-1	246.02969125752674	1.6021061564279253	422	1.0	14.903589906219974
16	aangegaan	137	-1	284.4475070984139	1.3878671265866636	137	1.0	16.522985904005004
17	aansluit	194	-1	217.51289360235398	1.0622186998539056	194	1.0	16.02418004703356
18	aanduiding	196	-1	159.86817412305655	2.396971263143481	196	1.0	16.002153740703562
19	aanneem	210	-1	236.55537972911284	4.752256021613166	210	1.0	15.903589906219974
20	aanbidding	139	-1	59.37465492142881	2.5002753194287526	139	1.0	16.502227343838207
21	aanvanklik	741	-1	167.28439795038983	0.6018668759540304	1411	1.0	13.165943955973773
22	aangevul	191	-1	272.7654324945298	0.21817321994546704	191	1.0	16.046547860062017
23	aanleiding	800	-1	486.052444174342	0.007372000419723896	800	1.0	13.982254183265859
24	aankoms	260	-1	287.0989855016778	2.6337098424824386	260	1.0	15.603604364213288
25	aansoek	233	-1	132.0575750333872	3.219623122859922	233	1.0	15.761145641199768
26	aangewys	531	-1	241.67160763647053	0.7672580749238447	531	1.0	14.568115279494663
27	aanval	671	-1	372.82747762581926	0.013726496454982992	671	1.0	14.239192938004411
28	aangepas	460	-1	229.3127053333334	0.7925888872907861	460	1.0	14.779761319367115
29	aangeneem	781	-1	296.3596554982254	1.2897636501807792	781	1.0	14.016800516667965
30	aanleg	159	-1	244.81135899605306	3.957941062889009	159	1.0	16.30958226589581
31	aanvalle	412	-1	243.55645124839376	2.948948378340133	412	1.0	14.938023403283848
32	aangetref	1290	-1	223.2656709904962	0.1187304009857602	1290	1.0	13.296120006089248
33	aangemoedig	220	-1	64.60002574631898	4.254879827932878	220	1.0	15.843607801391743
