	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	aari	486	-1	102.60091621077238	0.24693865362334894	486	1.0	14.090343120470838
1	aaral	2560	-1	207.47658652795076	0.004707846393482562	2560	1.0	11.70151367154156
2	aaralan	157	-1	-89.02781570016649	4.114616087287854	157	1.0	15.732006208671647
3	aawit	1732	-1	216.4306524163949	0.4287575324714165	1732	1.0	12.27423572440427
4	aalis	182	-1	33.6288249077166	1.3474555044936447	182	1.0	15.496628145740717
5	aabuso	164	-1	-161.26547815076557	8.45763378899272	164	1.0	15.609522202146652
6	aangkin	268	-1	-129.32132380572583	1.012145504661238	268	1.0	14.943029815928899
7	aalaga	105	-1	-52.2819663798084	0.6079538175747508	105	1.0	16.307866502285552
8	aalsa	125	-1	-63.58339894258345	4.132229169845581	125	1.0	16.058507033348835
9	aalok	196	-1	44.73300851059026	0.5259963085242946	196	1.0	15.40643033676914
10	aabot	126	-1	97.37082949332769	4.5282375992290556	126	1.0	16.0023639553113
11	aasal	208	-1	-79.27341035598371	0.21305833171265057	208	1.0	15.321541439182628
12	abala	260	-1	43.2369847826269	1.1344107325224635	260	1.0	14.996867967556447
13	about	222	-1	627.8196243397832	0.7958061510400144	257	1.0	15.018978669162196
14	abo	101	-1	56.39596236608345	6.830524465825298	101	1.0	16.307866502285552
15	abalang	122	-1	11.724063263277129	5.363932089727433	122	1.0	16.09327245150951
16	abenida	544	-1	155.64213676067726	1.920734558959265	222	1.0	15.222005765631714
17	abogado	157	-1	216.18926645924668	0.4793944843306212	157	1.0	15.732006208671647
18	account	134	-1	284.35678064356665	1.9957220434839316	134	1.0	15.937754873888224
19	acid	147	-1	243.24459529270266	0.2938393896165879	147	1.0	15.797382217523673
20	access	119	-1	237.67689745411275	1.8070966752410862	119	1.0	16.116923719574153
21	administrasyon	142	-1	-9.067756312556986	8.505690541065915	142	1.0	15.87591562007036
22	administratibo	116	-1	58.57671525335704	1.7066029114969845	116	1.0	16.15314390748691
23	after	228	-1	599.9350211848606	0.08392818870308309	224	1.0	15.215607994433562
24	agham	682	-1	272.31370710221785	0.11964834679755781	1198	1.0	12.7926129733758
25	agad	388	-1	189.73549364523848	2.151231882268006	388	1.0	14.421077112733544
26	agrikultura	249	-1	-75.90310011917944	1.6688037882428093	249	1.0	15.064243402897977
27	ahedres	103	-1	-89.47579236034815	1.2072348939978237	103	1.0	16.307866502285552
28	ahensiya	181	-1	38.36470444117276	4.570097176409558	181	1.0	15.504405496332437
29	ahas	203	-1	-18.28738060243777	1.1564112526222403	203	1.0	15.349286429665531
30	ahente	152	-1	28.039620197804258	0.061859939566937486	152	1.0	15.750384737986503
31	air	332	-1	536.5413667205563	0.6817746480285011	172	1.0	15.576355338211451
32	aklat	1275	-1	237.7475129450858	0.27236169929352044	1675	1.0	12.312126012438767
33	akin	175	-1	147.44804871489444	5.355552531778812	160	1.0	15.695936953964125
34	aktor	482	-1	393.3559928159661	0.031541252244071546	953	1.0	13.13190511111257
35	ako	482	-1	466.9398362594168	0.21975019922457312	585	1.0	13.821467836047983
36	akyat	117	-1	-40.76216328069376	0.5509089374293884	117	1.0	16.105049619285865
37	akademiko	101	-1	153.1936737423341	8.17684502176719	101	1.0	16.33534723870766
38	aklatan	156	-1	125.63309802924209	0.2916539896560164	156	1.0	15.732006208671647
