	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	অংশের	731	-1	140.26652242217546	4.977975339472049	731	1.0	13.846622053318713
1	অংশ	8618	-1	484.7627059364244	0.00559224688042096	8618	1.0	10.285773849094356
2	অংশগ্রহণ	3146	-1	363.222190015512	0.10556223627499818	3146	1.0	11.727369923909663
3	অংশগ্রহণকারী	498	-1	244.02157959086765	1.1215741774590917	498	1.0	14.391843716356396
4	অংশকে	122	-1	134.9529083811264	4.538073868047996	122	1.0	16.423743800822685
5	অংশে	1178	-1	178.57171999806687	4.880282137308947	1178	1.0	13.155586962376304
6	অংশবিশেষ	115	-1	6.639688296110181	7.7972893134407375	115	1.0	16.49589358657852
7	অংশটি	296	-1	141.33215006970153	7.941992677546836	296	1.0	15.151939185361158
8	অংশগ্রহণের	704	-1	174.66618967682092	1.8444255114286947	704	1.0	13.902733932890744
9	অংশীদার	168	-1	-33.95050061577039	3.1789184312025704	168	1.0	15.956867370024222
10	অঃ	237	-1	-155.864272682569	1.6164766069077239	237	1.0	15.465391498181175
11	অক্টোবর	4906	-1	312.4204348378944	0.00032742882169607283	4906	1.0	11.068482243267777
12	অক্ষাংশ	239	-1	196.21302395861957	0.2745276057501382	239	1.0	15.459367710553405
13	অক্টোবরে	413	-1	42.088799758038064	4.575643071828108	413	1.0	14.658899174081041
14	অক্ষয়	115	-1	-123.96302345078568	9.42620908073757	115	1.0	16.30016911570415
15	অক্ষর	296	-1	19.092635378371856	5.939591473018801	296	1.0	15.132638629402223
16	অক্ষম	147	-1	29.19463314640646	11.135357292330994	147	1.0	16.147089785699762
17	অক্সফোর্ড	392	-1	-118.77599132327518	2.5921716874807466	392	1.0	14.715206614982996
18	অকাদেমি	133	-1	-296.7031288805952	3.6874574378020784	133	1.0	16.30016911570415
19	অক্সাইড	178	-1	-138.73625360744288	5.12430105182562	178	1.0	15.866412419078717
20	অকল্যান্ড	124	-1	-57.567311550529986	11.130018699553705	124	1.0	16.268226223201395
21	অক্ষ	128	-1	85.04254182643709	5.6714612103533	128	1.0	16.34389049313347
22	অক্সিজেন	198	-1	-123.38701797620419	5.056271218591267	198	1.0	15.7224021163872
23	অক্ষত	104	-1	-42.68643081443204	15.618305710645823	104	1.0	16.624791319760778
24	অগ্রসর	785	-1	-4.390026147382915	0.26212537976370864	785	1.0	13.744206486705547
25	অগ্নি	243	-1	-72.81483627265514	8.788825900466353	243	1.0	15.371904869303068
26	অগ্রণী	209	-1	-70.21871531638631	1.761150184074087	209	1.0	15.645159117454737
27	অগ্রদূত	101	-1	-282.40321423433386	9.046156477219988	101	1.0	16.679757778978708
28	অগাস্ট	141	-1	-31.830466439882215	12.306666534843174	141	1.0	16.108870463469273
29	অগভীর	105	-1	-179.6304877192408	9.831558182125999	105	1.0	16.624791319760778
30	অগ্রগতি	205	-1	-100.18227208756815	8.627607666573873	205	1.0	15.679757778978706
31	অঙ্কন	218	-1	-69.75353475898672	8.083335229016225	218	1.0	15.591471246560749
32	অঙ্গরাজ্যের	180	-1	-105.72707413167534	2.8502774925074643	180	1.0	15.866412419078717
33	অঙ্কিত	304	-1	11.986423445115188	5.403155516244863	304	1.0	15.104163460791746
34	অঙ্গনে	201	-1	56.41135561298359	3.827502220127713	201	1.0	15.708046823410129
35	অঙ্গ	333	-1	108.01638423110073	3.8970100357904807	333	1.0	14.952630377137751
36	অঙ্কের	125	-1	-51.1334477879057	9.295304613113403	125	1.0	16.377573619389757
37	অজিত	131	-1	-165.79945864740753	7.036096388147078	131	1.0	16.16658596132556
38	অজ্ঞাত	121	-1	-205.61010488213154	5.760410235933036	121	1.0	16.423743800822685
39	অজানা	462	-1	10.945746217841789	5.003423338328605	462	1.0	14.49589358657852
40	অজয়	186	-1	-125.28149520407189	5.263694091509747	186	1.0	15.571842439811817
41	অঞ্চলের	2713	-1	169.37273869894733	2.4236784681727253	2713	1.0	11.954217791610274
42	অঞ্চল	3032	-1	292.4730859341541	0.010881349658974299	3032	1.0	11.768671266575709
43	অঞ্চলে	2947	-1	270.9898663276298	0.00039529363810087966	2947	1.0	11.830496928175268
44	অঞ্চলটি	405	-1	124.03244263714842	5.621664293312732	405	1.0	14.690301273220173
45	অঞ্চলকে	153	-1	158.12110434779055	7.561176557166903	153	1.0	16.099471765467023
