	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	آئین	143	0	179.01484655216655	6.931882954977609	143	1.0	16.300059406957644
1	آباد	695	0	312.35131809022477	0.00960718235937633	695	1.0	13.803383438654445
2	آب	5071	0	358.6671872882421	0.00987572664147349	5071	1.0	11.13728873470336
3	آبادان	292	0	182.33683083412785	4.328065983644904	292	1.0	15.223097425142761
4	آبان	799	0	259.8018874105483	1.0493718627576105	799	1.0	13.787711280472115
5	آبی	1531	0	353.5721908802979	0.01761073072204131	1531	1.0	12.867832146381286
6	آبشار	337	0	226.12057053858726	0.007908160854760482	337	1.0	15.002043932014612
7	آبکی	105	0	-632.0676607132523	1.9383794557480585	105	1.0	16.761963511274462
8	آبادی	219	0	288.78942862317865	0.1715218393370237	219	1.0	15.613367019272664
9	آبیاری	223	0	127.09288566021283	3.9808854719983087	223	1.0	15.663335478546747
10	آتش	1144	0	312.32378726100745	0.024792357585830798	1144	1.0	13.270715445375501
11	آتن	275	0	103.15669705231538	2.57686914042993	275	1.0	15.280430600208712
12	آتشفشان	149	3	108.13317645770755	3.8164226900811165	149	1.0	16.23249612314501
13	آتلانتا	174	0	-36.32948704297852	4.8719792187899005	174	1.0	15.96632200978065
14	آتشفشانی	164	0	15.199520864301112	7.593663166208965	164	1.0	16.123561751591847
15	آتشکده	120	0	116.18762355159092	6.606382566690445	120	1.0	16.524099681175574
16	آتلانتیک	136	0	-35.373328342863886	3.527217051343006	136	1.0	16.360600948892696
17	آثار	5550	0	391.2860268389406	0.00695253950583364	5550	1.0	11.036098910341508
18	آثاری	319	0	292.08902478863087	6.122863566240174	319	1.0	15.127940192102422
19	آجری	113	0	4.491148648322851	8.105570497766005	113	1.0	16.61951924625426
20	آجر	203	0	99.57456477359575	0.9302218662932735	203	1.0	15.803383438654445
21	آخرین	2086	0	407.07966793223443	0.010559992989331296	2086	1.0	12.412400608978157
22	آخر	959	0	433.8973245882786	0.026110872493975815	959	1.0	13.525543098045244
23	آدولف	158	0	81.54048491887909	1.551141739598935	158	1.0	16.167955870950298
24	آداب	229	0	194.38668768679526	0.07326246014722866	229	1.0	15.619519246254258
25	آدام	206	0	123.1971903039178	1.4808181209254612	206	1.0	15.65699395167292
26	آدم	257	0	168.70173144086132	0.6999725671938044	257	1.0	15.45096497654536
27	آدمی	105	0	87.74047749163364	9.47574303490775	105	1.0	16.708524252313
28	آدامز	132	0	61.932221921176684	5.551919635498162	132	1.0	16.30997487582273
29	آدرس	249	0	127.14405990450867	0.6033233421727623	249	1.0	15.484259416643784
30	آذربایجان	1990	0	350.98635502619754	0.026716105860784576	1990	1.0	12.454397514545509
31	آذر	933	0	258.8845035687062	0.18866513209507776	933	1.0	13.528434271439465
32	آذربایجانی	323	0	180.25852807927407	8.343655251128016	323	1.0	15.097566543058901
33	آذری	188	0	63.72525206312824	10.249068156201789	188	1.0	15.853259345294013
34	آرژانتین	1094	0	62.702231891075	0.1757274981936839	1094	1.0	13.373540004600192
35	آراء	125	0	232.49271199853024	0.5180651467442513	125	1.0	16.34013684633298
36	آرژانتینی	142	0	-176.66320314906295	8.425038132869021	142	1.0	16.31995896439535
37	آرامی	216	0	152.59061891071505	4.581651368074947	216	1.0	15.701981406446231
38	آرام	689	7	242.64301258196997	2.719156330462183	689	1.0	13.880705227695683
39	آرنولد	123	0	-20.06137164246166	7.183870699347519	123	1.0	16.44548984647921
40	آرتور	369	0	161.5167778944676	1.4284044090825003	369	1.0	14.828105868065677
41	آرامگاه	582	1	108.6811768386598	2.2566017131625173	582	1.0	14.285312821588459
42	آرشیو	114	0	-77.68294427805596	8.368143571050544	114	1.0	16.60724091647582
43	آر	430	0	389.5901628789924	0.13528003075484457	430	1.0	14.481455343767081
44	آریزونا	326	0	-100.857815389553	0.7413159007709359	326	1.0	15.132331961219577
45	آرایه	252	0	-75.2568610664491	6.419314062784588	252	1.0	15.495530528978804
46	آرا	237	0	281.3122930411422	3.930990732294598	237	1.0	15.402421124587322
47	آریایی	122	0	54.06266467942459	1.2344178496936307	122	1.0	16.535687655450786
48	آرسنال	256	0	-142.85156217197687	2.8607601246330887	256	1.0	15.45096497654536
49	آرکانزاس	201	0	-17.339943619134893	5.931725615292639	201	0.0	15.824548048652487
50	آرش	207	0	89.05591505507815	5.429939499223866	207	1.0	15.360600948892696
51	آرای	174	0	221.0668875922174	5.712788535260606	174	1.0	15.990038078754457
52	آرایش	172	3	147.93995238608042	2.6663675997839418	172	1.0	16.014150534871263
53	آرزو	131	0	200.92858362652757	9.720859059850678	131	1.0	16.35033261343887
54	آریا	103	0	104.17286268143435	3.591420780107813	103	1.0	16.65699395167292
55	آرامش	264	2	132.31199196402704	7.215470331184791	264	1.0	15.39712682491781
56	آرد	116	0	99.07107297869541	6.809244887582187	116	1.0	16.59506620252972
57	آزمون	415	2	133.13221728806477	5.183028207055058	415	1.0	14.741691116248203
58	آزمایش	793	6	141.86378384131453	0.5582438072079292	793	1.0	13.847832272909686
59	آزادی	1598	0	308.2995239322575	0.02995446817533991	1598	1.0	12.7937857948818
60	آزمایشگاهی	185	0	57.51183863888879	2.4304396456157837	185	1.0	15.927641541616591
61	آزادگان	186	0	175.00965941223856	2.8427949544563087	186	1.0	15.625697821183383
62	آزمایشگاه	348	2	71.19506431259555	3.0296066242387925	348	1.0	15.02635959256648
63	آزاد	3148	0	404.82761309056525	0.013740925222688181	3148	1.0	11.811724008294902
64	آزار	313	0	147.25777360153322	1.1494661704562723	313	1.0	15.132331961219577
65	آزادانه	102	0	152.09535521800868	4.061266402403514	102	1.0	16.748416979436517
66	آزادسازی	124	0	246.89417249077547	2.325919854544824	124	1.0	16.524099681175574
67	آزمایشی	238	0	118.59376098070427	8.10633201358699	238	1.0	15.582993370229143
