	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	abr	1057	0	-677.5501451962496	0.07777992916992155	1057	1.0	13.570062074239349
1	abertura	828	5	369.678447650218	0.012729196145884811	828	1.0	13.920084382325788
2	abril	1882	2	463.9149679383015	0.0033682522093783245	4300	1.0	11.54483655034856
3	abertas	143	0	351.48015563960996	6.343716649742393	143	1.0	16.424315610934087
4	abaixo	529	4	583.0776646847019	0.1412373862171382	756	1.0	14.05034076827713
5	aberto	399	11	489.9899402770707	0.09159053513135866	557	1.0	14.489561635549524
6	abriu	344	0	295.3488046048951	0.988688554677051	344	1.0	15.181044459921724
7	abrindo	109	0	293.83837019514243	8.725329539097777	109	1.0	16.829572089420346
8	abandono	136	1	325.7523940060659	7.456066503244288	136	1.0	16.494704938825485
9	abre	175	0	359.3110460403918	0.02635456796429675	175	1.0	16.164556337133156
10	abandonou	217	0	355.63151158576346	5.367680885000713	217	1.0	15.849200896169277
11	abuso	156	2	230.81532715537526	3.427859177860694	156	1.0	16.329367206878825
12	abrir	236	9	367.30215401859175	0.48761336862064464	236	1.0	15.723121147789703
13	aberta	377	0	380.68804936252116	3.720530237617164	377	1.0	15.039025455049297
14	abastecimento	130	1	128.88777170490548	2.919502935042748	130	1.0	16.579593836412
15	abundância	103	4	228.36392553360363	8.209364113298435	103	1.0	16.90974243810433
16	abandonada	101	0	318.52740706730987	6.59025255406257	101	1.0	16.937487428587236
17	abandonar	208	18	395.4560542552853	0.6842721680163427	208	1.0	15.916628823689571
18	abordagem	253	1	235.42828687998036	2.7790144425135828	253	1.0	15.623987955770453
19	abandonado	181	2	407.69780161810405	0.39288231346121727	181	1.0	16.10828811748641
20	absoluta	197	0	480.1964757159649	0.16731781533567855	197	1.0	15.987363335226801
21	abundante	102	5	364.8451343396449	12.385634819666544	102	1.0	16.937487428587236
22	abertos	136	0	395.6599399073515	10.22533502999474	136	1.0	16.505046883046944
23	abriga	187	0	249.13491314819265	0.14056105885538273	187	1.0	16.054132347439502
24	abrigo	102	2	266.1896462101339	1.4647725981605404	102	1.0	16.92354823762936
25	absoluto	129	2	425.92621754493643	1.610260503858858	129	1.0	16.601620142741996
26	abrigar	105	1	219.34145588834022	7.823348018101283	105	1.0	16.869100453606983
27	abrange	139	0	256.55058152182255	3.0214509451024822	139	1.0	16.464116618992062
28	acusações	216	0	159.10206330947318	4.193706495342432	216	1.0	15.842628242245791
29	aceitou	218	0	300.2408299628555	5.309796699690162	218	1.0	15.836085396379021
30	acabou	1245	0	435.6972990829373	0.0258425181329764	1245	1.0	13.327071748891163
