	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	آب	400	1	450.0797750061071	0.40819348939401806	400	1.0	14.87114696933496
1	آباد	148	0	211.1479525046462	0.09323361395072917	148	1.0	16.153636753095288
2	آثار	847	0	313.4975047658092	0.09447964438518265	847	1.0	13.830088562539764
3	آخر	3591	0	517.3950384285388	0.013773311405761565	3591	1.0	11.69641729186697
4	آخرين	671	0	351.86141392827545	4.093293248852035	671	1.0	14.14354087535978
5	آخرون	369	0	336.28052789949123	3.7927380013595107	369	1.0	14.996374986918728
6	آدم	310	0	155.40721374835923	1.4517567492721062	310	1.0	15.198917632396153
7	آذار	415	1	220.00667169175819	2.4580913345264945	415	1.0	14.838207295506667
8	آر	562	0	364.7278165853535	0.397001373286967	562	1.0	14.419916818432736
9	آراء	148	0	220.8970158028953	4.451202233900895	148	1.0	16.298453305947067
10	آرثر	290	0	125.40128723451102	0.30739460991482764	290	1.0	15.32558943588458
11	آسيا	2306	0	368.2651676197036	0.011590311243747408	2306	1.0	12.406575281193575
12	آل	2289	2	399.317645560616	0.015059243219830841	2289	1.0	12.372571797982294
13	آلاف	634	0	344.4695939505861	0.7772611916206237	634	1.0	14.19265864192447
14	آلات	245	0	230.16731545104955	6.592990553135775	245	1.0	15.657826630110915
15	آلام	116	0	109.31595258350744	4.727097927496351	116	1.0	16.663585899399596
16	آلان	142	0	234.076895246143	0.31073876308257986	142	1.0	16.307442089174323
17	آلة	388	0	247.8977196342074	5.987257034815464	388	1.0	14.942869656878466
18	آلهة	153	0	69.71195898821993	1.4988541521278083	153	1.0	16.353245778787446
19	آلية	297	0	263.0971155020919	8.090676803781529	297	1.0	15.348599413931082
20	آليات	139	0	256.1944618707575	3.1533931416573284	139	1.0	16.469498847283297
21	آمنة	166	0	193.393396891674	10.831971300653665	166	1.0	16.186426688212958
22	آمن	156	1	195.88747648943655	4.738788429743204	156	1.0	16.280642029830606
23	آن	523	0	396.1643923015005	0.5175311823337458	523	1.0	14.477085341755101
24	آنا	285	0	254.9931775747439	0.02731203098588602	285	1.0	15.3814426706181
25	آند	216	0	150.4230213591524	2.7040029715194747	216	1.0	15.841467624670253
26	آنذاك	741	0	231.1104064231169	0.031870461224533	741	1.0	13.96048519979544
27	آي	739	0	308.75191657404093	4.438808020058117	739	1.0	14.035045580136837
28	آية	187	0	184.31419352195425	3.388827258970011	187	1.0	15.887903197660538
29	آيت	141	0	188.5069228916096	0.09827542438700007	141	1.0	16.43954562518167
30	آيرس	266	0	14.393369890644387	2.6246482706383656	266	1.0	15.415051063260918
31	آيسلندا	172	0	18.857803472996792	3.191453109993491	172	1.0	16.19474195642496
32	آيلاند	171	0	-77.68564564239784	2.579204341472938	171	1.0	16.161764633978688
33	آيوا	352	0	-49.23107121480484	5.344257974489168	352	1.0	15.165845810790506
34	أب	202	0	310.7668423699532	5.980108539656837	202	1.0	15.881177334472223
35	أبا	190	0	171.46976653436735	1.895391889986355	190	1.0	15.822015262004081
36	أبحاث	447	0	190.6668859536206	0.2082873059828832	447	1.0	14.787019840647876
37	أبدًا	136	0	167.20164269530818	14.525939713506137	136	1.0	16.48981883166289
38	أبدا	131	0	263.56255728384184	10.682901932083013	131	1.0	16.48981883166289
39	أبريل	5406	0	379.8131123841721	0.000960872802073056	5406	1.0	11.18306225301134
40	أبرز	720	0	363.8702422662616	0.26181036767275145	720	1.0	14.027599395653974
41	أبرزها	191	0	296.47550438139865	5.907190438964604	191	1.0	15.9082709953545
42	أبراج	154	0	118.16570918841771	4.686271867194733	154	1.0	16.25433075271476
43	أبرشية	125	0	87.66565462839205	0.18423241279134528	125	1.0	16.60700237103323
44	أبطال	1124	0	261.69559678436815	0.06860690644782183	1124	1.0	13.445734802588465
45	أبعد	175	11	239.15116607052158	3.2388406288091627	175	1.0	16.090211372953654
46	أبل	119	0	14.740243634682527	4.688109126411566	119	1.0	16.64068549728952
47	أبلغ	111	8	213.8681941935309	6.645354019628988	111	1.0	16.746727134699842
48	أبناء	796	0	386.7008189509623	0.082319741057394	796	1.0	13.823626311910065
49	أبوظبي	247	1	28.205213668395118	4.151185282328833	247	1.0	15.584976064703232
50	أبو	3977	0	311.8373239153844	0.005727862438303511	3977	1.0	11.516604902176368
51	أبولو	174	0	26.092861757669876	5.907574709804579	174	1.0	16.097988723545374
52	أبوه	139	0	223.81633970109397	3.998788840907941	139	1.0	16.410201663599523
53	أبواب	228	0	221.83679779419916	6.409304177551939	228	1.0	15.629370184061685
54	أبيض	359	0	208.7311178873602	1.7846269407997057	359	1.0	15.048169602136728
55	أبيه	284	0	267.1907192275948	5.044525447865607	284	1.0	15.280642029830606
56	أبي	1776	0	362.4868277219568	0.07710682348836138	1776	1.0	12.632190703124063
57	أبيب	268	0	121.62099629335367	3.49298455944257	268	1.0	15.510429111338178
58	أتباع	251	0	157.02721027631523	3.2238359381240675	251	1.0	15.547221142707814
59	أتراك	233	0	-193.867727736337	2.287146227937911	233	1.0	15.740626935163426
60	أتلتيكو	239	0	-91.51758744956999	1.9574469873159501	239	1.0	15.395750507301983
61	أتلانتا	263	0	-26.035285232210068	3.1849375654989323	263	1.0	15.47455207500958
62	أتلتيك	127	0	-78.52384254961363	5.926972903604582	127	1.0	16.410201663599523
63	أتى	141	5	279.19841807215676	4.323320292834694	141	1.0	16.307442089174323
64	أثار	278	47	266.6130186006764	0.7161470449620354	278	1.0	15.371982341369034
65	أثارت	134	0	193.67876867821425	8.940251592379898	134	1.0	16.44946109404675
66	أثبتت	160	0	197.510310375899	7.4768105208873745	160	1.0	16.219979247923984
67	أثبت	152	0	239.59725075667208	6.951545672197091	152	1.0	16.280642029830606
68	أثر	539	7	287.70709779322465	2.304535099189445	539	1.0	14.442018110861188
