	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	about	1872	8	585.0688702680543	0.0030797114553600975	10610	1.0	10.643744470088986
1	able	2077	4	492.68958027342353	0.008815197660099914	2077	1.0	12.992481094046227
2	above	1508	4	635.0284442384924	0.023318113770823948	2438	1.0	12.754396389749196
3	abstract	205	9	386.211037770943	0.02413175099513532	205	1.0	16.32132860287338
4	absolute	315	6	469.8599543197287	0.084946892819186	315	1.0	15.7043557072496
5	absorption	148	6	245.26680710864136	0.26914616098587724	148	1.0	16.80259980055231
6	abuse	324	7	351.527316795473	0.014358913067201193	324	1.0	15.664216316396388
7	absent	200	4	465.3523805759273	1.206470334227099	200	1.0	16.363556838262678
8	ability	1144	2	454.7466431220002	0.035170697782295375	1144	1.0	13.859376992257568
9	abundant	169	1	461.0269028035657	0.24332852903297508	169	1.0	16.61237738487677
10	abbreviated	198	4	299.073810972193	0.04026955171815129	198	1.0	16.377912131239746
11	abandoned	656	7	431.81431146767727	0.0211557075335134	656	1.0	14.65763366600642
12	abolished	314	1	391.14612879465597	0.053032427770271805	314	1.0	15.69984022612711
13	absorbed	226	11	519.4391097476895	0.09549254848012556	226	1.0	16.182564532917528
14	absence	408	4	411.51439762173726	0.003998487272041812	408	1.0	15.338773737332788
15	abilities	285	2	373.78662075182854	0.04792348214134942	285	1.0	15.846842638513792
16	aboard	319	4	489.97912144633256	0.00033053079871450474	319	1.0	15.69984022612711
17	absolutely	112	2	415.54164825658125	9.008711682898658	112	1.0	17.18887830684973
18	abroad	312	4	459.15412350570756	0.015229435777955339	312	1.0	15.731749474081852
19	abortion	175	2	93.66402532975597	0.02521476152833202	175	1.0	16.554162770931473
20	abundance	117	3	316.7968543383343	3.1489778647565436	117	1.0	17.11487772540595
21	abolition	121	1	211.1522867390326	0.1954892048708929	121	1.0	17.055984036352385
22	abandon	142	7	404.9492874654503	0.11012410565606595	142	1.0	16.85184331957216
