	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	അംഗം	807	-1	-19.32110244069304	0.4850280112690592	626	1.0	13.682210609828262
1	അംഗങ്ങൾ	1354	-1	-83.1098637195278	1.8039309906950927	1017	1.0	12.961142642542264
2	അംശം	131	-1	9.567595488402919	5.375710696271322	103	1.0	15.74275215176331
3	അംബിക	207	-1	-226.77328637891267	4.2441673270043205	153	1.0	15.39630173774188
4	അംഗമാണ്	125	-1	91.73724264438653	8.210200410140189	95	1.0	16.412603550070983
5	അംഗമായി	281	-1	12.670931032956538	3.6618007516637094	213	1.0	15.139585055664565
6	അംഗീകാരം	520	-1	-95.89557661473312	2.1417300902856824	393	1.0	14.21144496317375
7	അംഗവും	165	-1	7.8730566926745675	4.308115701506457	127	1.0	15.97318189216518
8	അംഗീകരിച്ച	145	-1	-222.09739003326862	8.581928119481168	107	1.0	16.11714766654481
9	അംഗമായിരുന്ന	112	-1	-97.36138047161339	3.538069118688136	81	1.0	16.44577041400618
10	അംഗമായിരുന്നു	133	-1	4.031998180382707	5.927880072368766	106	1.0	16.307250549924753
11	അംഗങ്ങളുടെ	155	-1	21.842198697683482	5.372883469605249	121	1.0	15.910103209541798
12	അംഗങ്ങളെ	216	-1	0.626226951292678	2.7435890807394396	171	1.0	15.532185165823654
13	അംഗീകൃത	105	-1	-237.28469952361573	11.21067439637533	82	1.0	16.514483164090194
14	അംഗത്വം	175	-1	-63.79736354751486	3.5315247712135314	125	1.0	15.857084827242307
15	അംഗീകരിക്കുകയും	115	-1	-282.50157418685154	5.880361052120433	85	1.0	16.135069574542072
16	അംഗമായ	177	-1	2.2947976185244383	3.3668702838581	134	1.0	15.79878618667764
17	അംഗങ്ങളും	181	-1	-58.36188237650505	5.9704990029335026	140	1.0	15.791661752244257
18	അംഗങ്ങളിൽ	101	-1	2.354997411133051	6.580177807188654	77	1.0	16.68881334465251
19	അക്കാദമി	3134	-1	-130.37932767242455	0.4946010520639114	2357	1.0	11.760030143195149
20	അകലെയാണ്	555	-1	-130.57274014096845	1.1647327653491444	415	1.0	14.25242652518023
21	അക്കാഡമി	189	-1	-160.0993816826797	6.600920587778091	144	1.0	15.715530683028287
22	അകലം	158	-1	40.19783214456015	4.184465992851417	119	1.0	15.887142061098485
23	അക്ബർ	298	-1	-73.22350349309858	1.5153989352158501	234	1.0	14.868283033847172
24	അക്കാലത്ത്	1085	-1	-82.10131325999373	1.1395260025347982	840	1.0	12.991431264620037
25	അക്കാദമിയുടെ	518	-1	-232.4473468250817	1.9730635968079497	394	1.0	14.404429618625281
26	അകലെ	530	-1	54.0652016533475	0.8487939319067439	405	1.0	14.194902824059255
27	അക്കാലത്തെ	494	-1	-124.30233556326664	3.6992305875780747	374	1.0	14.153216921252334
28	അകലെയുള്ള	212	-1	-40.09231157812422	2.355043122597601	159	1.0	15.568254420531176
29	അക്ഷരങ്ങൾ	234	-1	-72.30663188643202	3.426531621508978	176	1.0	15.287072667987124
30	അക്കാദമിയിൽ	158	-1	-248.86281195204361	7.6333148952514405	126	1.0	15.989392119346437
31	അക്ഷരം	189	-1	-25.7743601636528	8.55810005600388	148	1.0	15.688813344652509
32	അക്കാദമിക്	167	-1	-305.82203507180316	5.861046646191523	130	1.0	15.917838858321403
33	അഖിലേന്ത്യാ	237	-1	-241.85370268386617	6.073786831037565	176	1.0	15.332876357600247
34	അഖില	121	-1	-196.9111596653326	8.073493987955946	94	1.0	16.32771465248447
35	അഗസ്റ്റിൻ	157	-1	-161.81183216350448	7.039647070566813	120	1.0	15.722288049203597
36	അഗ്നി	228	-1	-138.24530663434294	5.11450497823603	170	1.0	15.348473212651266
37	അഗ്നിപർവ്വത	120	-1	-302.2883853927658	8.897629282691263	88	1.0	16.218592930104354
38	അങ്ങ്	104	-1	-143.85701012792313	6.227462532974425	84	1.0	16.636818707014246
39	അങ്ങനെ	1667	-1	78.87361630512251	2.2129048569571963	1271	1.0	12.406468763898879
40	അങ്കമാലി	175	-1	-268.6873446252447	10.307120987221047	135	1.0	15.770497142246215
41	അച്ഛൻ	790	-1	20.812294129405842	5.3424516408711815	613	1.0	13.52478291746105
42	അച്ഛനും	110	-1	-49.62315131323075	6.772333210164851	88	1.0	16.267173110549418
43	അച്ചടി	153	-1	-141.96501175649402	6.131232343943773	113	1.0	15.784572327457939
44	അച്ഛന്റെ	161	-1	-66.14951735000453	6.818796472671704	117	1.0	15.864540632161354
45	അജിത്	346	-1	-48.84286458570746	2.7732899505720447	247	1.0	14.879568841393686
46	അജയ്	116	-1	-55.092626962776436	5.5173613684518	91	1.0	16.108269515198355
47	അജു	119	-1	-367.6765400257542	7.1850042588931995	97	1.0	16.479717745929516
48	അഞ്ച്	1292	-1	242.32463520107962	0.41039071839043384	973	1.0	12.872035168708278
49	അഞ്ചാം	505	-1	42.033841127670456	3.907187115002985	365	1.0	14.183202070215168
50	അഞ്ചു	951	-1	27.992523965181974	2.371546012013747	738	1.0	13.358965586468909
51	അഞ്ചാമത്തെ	213	-1	97.93272527681206	2.1046446624555086	152	1.0	15.485454115478664
52	അഞ്ജലി	143	-1	-244.97472998731547	6.285477863890784	112	1.0	15.849667355679824
53	അടുത്ത്	264	-1	76.89849409259067	3.893659734607336	201	1.0	15.103850843931351
54	അടയാളങ്ങൾ	118	-1	-170.87808835765725	8.785351514816284	86	1.0	16.35896558646891
55	അടുത്ത	2495	-1	231.8796617503517	0.2839361387247184	1894	1.0	11.924641744140587
56	അടക്കം	451	-1	77.39254964568627	1.9151450652943187	344	1.0	14.43462985640098
57	അടിസ്ഥാനമാക്കി	622	-1	-69.34114952496873	1.6563346274431396	477	1.0	14.007849024053998
58	അടുത്തുള്ള	758	-1	145.47952342202717	0.4050815428467708	581	1.0	13.69046876083057
59	അടിസ്ഥാന	898	-1	-8.066765196089014	1.1718808894566748	672	1.0	13.472579210628295
60	അടൂർ	771	-1	-297.03809091612555	2.704406360120678	598	1.0	13.364240528509583
61	അടിസ്ഥാനമാക്കിയുള്ള	331	-1	-124.84010793623094	5.004849540759842	251	1.0	14.945245015662055
62	അടിസ്ഥാനത്തിൽ	719	-1	8.207916330637618	3.959333405220251	556	1.0	13.708804819839974
63	അടക്കമുള്ള	209	-1	-276.9698932082393	5.021405015255045	163	1.0	15.474004094735125
64	അടങ്ങിയ	502	-1	35.082516928055895	0.36561973221468	402	1.0	14.307250549924754
65	അടി	1140	-1	171.53414119305623	0.43373206958683364	880	1.0	13.047606733291731
66	അടങ്ങുന്ന	237	-1	-122.29667635077183	5.574154319658957	183	1.0	15.297126332651045
67	അടുത്തിടെ	117	-1	-179.65950166247137	3.81499494711558	90	1.0	16.39090847897166
68	അടുത്തു	127	-1	70.75288008409579	7.160619456689436	91	1.0	16.108269515198355
69	അടയാളം	127	-1	-193.56512130517615	8.057622094949087	96	1.0	16.287072667987122
70	അടങ്ങിയിരിക്കുന്ന	134	-1	-56.71896912697348	6.1163388674075785	104	1.0	16.218592930104354
71	അടിയിൽ	129	-1	-10.975686153175847	7.195117331069449	92	1.0	16.171595450567185
72	അടിസ്ഥാനം	131	-1	-36.6991038492731	6.854333112637202	96	1.0	16.16237692053781
73	അടിസ്ഥാനമാക്കിയാണ്	132	-1	-67.44814484086952	8.41146930998022	110	1.0	16.2770885794145
74	അടിത്തറ	147	-1	-158.66422509095295	3.4682370180669038	115	1.0	15.989392119346437
75	അടിയന്തരാവസ്ഥ	110	-1	-350.95431751849816	10.327388048171997	74	1.0	16.423574667891984
76	അടിസ്ഥാനപ്പെടുത്തി	104	-1	-118.58829733595817	10.63656468073527	75	1.0	16.574354620067595
77	അണക്കെട്ട്	418	-1	-160.76829517056063	2.512792611517102	332	1.0	14.45418265382238
78	അണ്ടർ	156	-1	-73.53190340874012	8.643217399597168	125	1.0	15.941297831145391
79	അണക്കെട്ടിന്റെ	104	-1	-186.11956656568935	12.494258437358157	71	1.0	16.297126332651047
80	അണ്ണാ	140	-1	-228.34582793299344	11.169301607779094	112	1.0	16.022369441792712
81	അണുബാധ	167	-1	-249.80277688462397	3.100130668985165	123	1.0	15.791661752244257
82	അതിനു	1366	-1	161.9214612887108	1.542468687970926	1019	1.0	12.788999133756906
83	അതിന്റെ	4271	-1	185.53626102441805	0.005872445554206285	3277	1.0	11.154644342998232
84	അതിൽ	2268	-1	155.64919029722296	0.1747537433103875	1701	1.0	12.028637496725143
85	അത്	4636	-1	236.67589029721017	0.006840552523581869	3502	1.0	10.983545580477204
86	അതിനുശേഷം	722	-1	-185.39016972354693	1.5407637266137384	550	1.0	13.646426034688288
87	അത്ര	294	-1	-139.2547276300518	2.3223461498605444	235	1.0	14.96514457309976
88	അതിനെ	1074	-1	33.78910149167246	1.3760444354127954	810	1.0	13.12049110961918
89	അതാണ്	128	-1	172.29729794885847	2.6356218763601	107	1.0	16.15321692125233
90	അത്രയും	115	-1	-255.2322540538252	5.1848030719864235	89	1.0	16.297126332651047
91	അതിനാൽ	1823	-1	-16.13396938359227	1.436727582886069	1398	1.0	12.369534828179095
92	അതേ	1311	-1	127.51846869901352	2.4134632450571893	986	1.0	12.815849072018201
93	അതുപോലെ	653	-1	-131.1324673545803	1.3968338101690807	507	1.0	13.789886127354407
94	അതായത്	1049	-1	30.652275577906188	1.9916174471322587	802	1.0	13.237829148967274
95	അതിലൂടെ	157	-1	-134.16741694059212	4.082853744256085	116	1.0	15.820373048885786
96	അതിന്	542	-1	121.20251787704129	1.4319654658582865	408	1.0	13.98532245503739
