	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	af	243	0	437.004033964157	0.8306927562816669	243	1.0	14.988473356906292
1	aikaan	1625	0	365.8544320779428	0.005383372678538098	1625	1.0	12.273784683026921
2	ainoan	116	0	328.9713796560598	11.873117498282728	116	1.0	16.072304947709764
3	aiemmin	630	1	411.61908246329335	0.05637847397934461	1425	1.0	12.464911400849278
4	aikana	6323	0	430.7816705146877	0.0005721150890251761	6323	1.0	10.31536378677832
5	aikojen	635	0	329.98529264725346	0.11886025507176202	635	1.0	13.627520105036869
6	aina	2037	6	369.0486561875058	0.008961116993079369	2037	1.0	11.94831623043431
7	ainakin	893	3	408.11903399049874	0.055989405195094044	893	1.0	13.12888847607613
8	aikansa	231	0	200.06358184157452	2.3528082672651713	231	1.0	15.072304947709764
9	aikuisten	190	0	184.9152891989192	3.9234782901249434	190	1.0	15.34275682510604
10	ainoa	816	5	398.1493092642903	0.02849008679293073	816	1.0	13.26671263435142
11	aikaa	1119	0	388.9516245175116	0.01762305112528899	1119	1.0	12.787851558241064
12	aineen	121	0	126.08905068415098	1.3031002952417066	121	1.0	16.011932329730282
13	aikoihin	435	0	177.07707562201557	1.0038989085104617	435	1.0	14.174485342516242
14	ainoaksi	101	0	320.9849963370849	8.0691981882152	101	1.0	16.270244325321674
15	aiheutti	377	0	202.12445726982858	0.4764350082759871	377	1.0	14.380427243072095
16	ainetta	141	0	79.44446483465487	10.534098266709782	141	1.0	15.792922547788486
17	aiempaa	115	0	153.28244832350603	2.2507959521335104	115	1.0	16.084688672165594
18	ainoana	108	1	278.8958469805641	2.5386257915309183	108	1.0	16.174485342516242
19	ainoastaan	764	1	377.2052078707639	0.2000528902726764	764	1.0	13.363353729713154
20	aikoina	228	0	164.77349430863114	3.0136578092188167	228	1.0	15.09092062587711
21	aivan	447	12	141.20357034291365	3.1468558096779007	447	1.0	14.135314745235563
22	aikainen	150	3	166.05820962239204	6.303485333124796	150	1.0	15.704264927968088
23	aikanaan	277	1	233.45646126656465	4.568152940660608	277	1.0	14.823728594569662
24	aiheuttama	112	0	94.5872597018979	5.630080680762019	112	1.0	16.12249070487798
25	aikaisemmin	395	4	361.83301652995397	0.14264337264805996	591	1.0	13.730781372747165
26	aika	359	14	328.73420307908395	0.04006723446541031	449	1.0	13.84200732828797
27	aikoinaan	232	1	73.66534651732147	0.3296265443824613	232	1.0	15.078483522638887
28	aiheuttaa	557	22	156.7366588598816	0.492402367761168	557	1.0	13.818548355463982
29	aine	108	4	202.1214648035012	2.032902316155809	108	1.0	16.16130995376851
30	aineiden	112	0	116.85561934570146	0.5916711841959373	112	1.0	16.12249070487798
31	aikoo	118	0	136.17216042640976	6.130212167562065	118	1.0	16.047851903985222
32	aiheita	116	0	56.738278146975645	10.588697877423517	116	1.0	16.072304947709764
33	aiheuttavat	116	0	69.8434588110134	6.328244618300734	116	1.0	16.072304947709764
34	aiheesta	108	0	181.9836279519764	6.906598212542357	108	1.0	16.174485342516242
35	aidat	105	1	-320.36556915728664	0.31963293347507715	105	0.0	16.20120268089202
36	aiheuttivat	106	0	154.80958258061517	9.695747897310078	106	1.0	16.20120268089202
37	ajan	1205	0	450.44519159966825	0.02803452393360858	2314	1.0	11.765873189145568
38	ajaa	226	17	304.0439764363189	6.505293776503707	226	1.0	15.116121180002251
39	ajoi	623	0	277.4691998009741	1.7998610181348282	623	1.0	13.657267448430918
40	ajatus	115	5	156.4403890632676	6.162185608822367	115	1.0	16.084688672165594
41	ajalla	517	0	185.36442561458392	0.2413681876033115	517	1.0	13.925861379606616
42	ajoittain	147	2	65.3329409352225	2.3617957233368947	147	1.0	15.73321630166422
43	ajettiin	242	0	209.63918922557053	1.046469769384308	242	1.0	15.017857163687387
44	ajalta	225	0	247.41123432416975	4.381471095614963	225	1.0	15.12249070487798
45	ajanut	123	0	301.7872735806041	3.329046540265161	123	1.0	15.97688538263108
46	ajassa	129	0	229.73185220902877	7.797181275463844	129	1.0	15.920301854264713
47	ajautui	151	0	232.22521410868265	0.3180338942340964	151	1.0	15.694742153849583
48	ajaksi	223	0	231.78125912917108	4.568724058134139	223	1.0	15.135314745235563
49	ajamaan	121	0	257.49929814115035	6.480320757085627	121	1.0	16.011932329730282
