	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	अँड	581	-1	41.2726515156457	1.941981966493462	581	1.0	13.747842062288937
1	अंतरावर	7439	-1	179.47539842847715	0.0008140382981925393	7439	1.0	10.079047970764309
2	अंडी	310	-1	-54.57986331992152	5.514499644310244	310	1.0	14.650116029827084
3	अंतर	709	-1	147.65305425239566	2.308447620328332	709	1.0	13.456319099495445
4	अंत	163	-1	170.74759687639184	0.03198216631317532	163	1.0	15.565095445412778
5	अंदाज	410	-1	46.630547992888914	1.2834235397934142	410	1.0	14.23277574467882
6	अंतिम	1044	-1	261.1231265870086	0.06140818391315357	1044	1.0	12.643218669880413
7	अंदाजे	474	-1	127.17466538990205	5.715182436543678	474	1.0	14.036253031023524
8	अंजली	117	-1	-193.45745665841042	12.612035812475742	117	1.0	15.884852441258513
9	अंदमान	193	-1	-261.1350428622657	2.7473807918593054	193	1.0	15.332804563010091
10	अंगणवाडी	261	-1	-303.42828503710814	3.0581271670673087	261	1.0	14.906711875222253
11	अंकात	109	-1	-20.717005888056487	10.875971527274595	109	1.0	16.158775163235045
12	अंक	720	-1	57.331852899052635	0.05128936812927552	720	1.0	13.432340236561007
13	अंतर्गत	555	-1	-37.12516698700169	5.783421924092748	555	1.0	13.81860135941967
14	अंश	295	-1	172.80907434194222	1.8809902662948026	295	1.0	14.725815755958937
15	अंगावर	197	-1	-64.041122097336	6.071028307609752	197	1.0	15.303510256216054
16	अंतराळ	310	-1	-134.12974113662256	5.457851666788901	310	1.0	14.650116029827084
17	अंधश्रद्धा	144	-1	-348.3039574714684	8.19249642557568	144	1.0	15.740462531923338
18	अंमलबजावणी	161	-1	-436.36534809815873	3.0892696326934033	161	1.0	15.60028487387508
19	अंग	173	-1	33.34044294609549	2.462252044781095	173	1.0	15.448281780430028
20	अंतरावरील	121	-1	132.77329567864024	5.140085087334814	121	1.0	16.00939753919682
21	अकोले	113	-1	-277.2243051925743	3.8886890406102204	113	1.0	16.09464482581533
22	अकादमी	709	-1	223.2483768306208	0.010306707012892885	709	1.0	13.454305568057798
23	अक्षय	127	-1	-7.737303692542647	4.118705202700702	127	1.0	15.87404568630193
24	अकोला	376	-1	-186.16903151942964	2.0348337228073086	376	1.0	14.278356778987716
25	अक्षरे	203	-1	-26.712100852384157	4.038856744766235	203	1.0	15.246647919260377
26	अक्षर	239	-1	-12.908395674244089	6.508315960732464	239	1.0	14.991767645175026
27	अकरा	208	-1	-48.65575337330739	6.364298026722211	208	1.0	15.225889359093578
28	अकाली	110	-1	-269.1879173566044	8.684432489221747	110	1.0	16.069770157176297
29	अकबर	119	-1	-30.79989138391081	2.519987795032373	119	1.0	15.87404568630193
30	अखेरीस	240	-1	94.15183741728494	6.6979430655638375	240	1.0	15.02724554052974
31	अखेर	296	-1	80.53279809483126	4.720221904484001	296	1.0	14.720966356297541
32	अखिल	1155	-1	1.7347307006233166	0.22285638062752758	1155	1.0	12.758982619894137
33	अखंड	263	-1	-36.99054053311295	3.1387543859590594	263	1.0	14.87943894507215
34	अगदी	970	-1	-16.309868666133752	0.7599714222488944	970	1.0	13.006444221807469
35	अगोदर	143	-1	-55.22614452813603	5.074924467326878	143	1.0	15.770209875317391
36	अग्नी	115	-1	-49.7906911331571	3.4749415065931237	115	1.0	16.00939753919682
37	अगर	132	-1	109.38397481310298	3.324623841227907	132	1.0	15.884852441258513
38	अग्रणी	114	-1	-0.9587629349317909	7.931994450719733	114	1.0	16.09464482581533
39	अग्रगण्य	106	-1	-257.6801743317612	8.078717024821156	106	1.0	16.198667890358553
40	अचानक	186	-1	-48.24823914014173	0.8620370706162785	186	1.0	15.385546025082066
41	अचूक	191	-1	-36.77886206469737	2.8053029157728426	191	1.0	15.355172376038547
42	अजिंक्यपद	917	-1	-208.17484134865606	2.0090145407530966	917	1.0	13.048351173541393
43	अजूनही	393	-1	-20.06344097496515	6.115344307198173	393	1.0	14.310778256680095
44	अजित	193	-1	-146.33675878117896	3.507134788394592	193	1.0	15.126353685542668
45	अजय	224	-1	106.95867021095944	0.049294464922045984	224	1.0	14.765209194259024
46	अज्ञात	182	-1	13.8435544051478	5.470446433667298	182	1.0	15.424435038475659
47	अजिंक्य	122	-1	-230.97933980386156	8.993114248650972	122	1.0	15.80058352436091
48	अजून	500	-1	33.762837916202486	5.079190977931023	500	1.0	13.962854953259788
49	अजिंठा	123	-1	-253.33179627153368	6.068102365586816	123	1.0	15.89574075740125
50	अटक	315	-1	-5.45861476915762	0.4116463840584315	315	1.0	14.627251921475347
51	अटलांटिक	194	-1	-145.30945595864569	5.350406211061576	194	1.0	15.310778256680095
52	अठरावे	165	-1	-1753.4815456196386	1.4293108362140077	165	1.0	15.472529326676705
53	अडथळा	144	-1	-184.0426782950691	5.093880515959528	144	1.0	15.750310317879686
54	अडचणी	124	-1	-226.35130361480316	4.232941910143821	124	1.0	15.974350592097617
55	अडीच	138	-1	174.23043162067125	4.234742397415465	138	1.0	15.810851859814736
56	अण्णा	369	-1	-226.1909049369737	5.462404431366339	369	1.0	14.329110079452352
57	अत्यंत	1326	-1	164.6116037031806	1.8885568421148606	1326	1.0	12.562924346371151
58	अतिशय	1506	-1	-20.160477992930534	1.1762623868605608	1506	1.0	12.376938604542968
59	अत्रे	401	-1	-207.98348593925618	6.106012801874308	401	1.0	14.22932844306035
60	अति	173	-1	138.17258129314456	1.137777687647956	173	1.0	15.480703258122405
61	अतुल	178	-1	-174.8440358149296	6.94110070989373	178	1.0	15.325425032644494
62	अतिरिक्त	208	-1	156.7041219965788	0.156361460555646	208	1.0	15.23277574467882
63	अत्याचार	130	-1	-37.180872920061375	2.5063422528597026	130	1.0	15.906711875222253
64	अथवा	1736	-1	236.18749437491755	0.049841286858082215	1736	1.0	12.16782030283805
65	अद्ययावत	110	-1	-349.12404294990387	5.139254540746863	110	1.0	16.145719010409596
66	अध्यक्षपद	265	-1	-187.84887459628922	1.791795143235545	265	1.0	14.884852441258513
67	अधिक	3417	-1	417.8318487663955	0.005038370282475531	3417	1.0	11.121952171811063
68	अधिकाधिक	108	-1	20.254179835632275	4.949409554402034	108	1.0	16.17195055198278
69	अध्यक्ष	1919	-1	220.67709031181028	0.0003347440301017874	1919	1.0	12.02425549792393
70	अधिकृत	1712	-1	185.23550917477985	0.019328555559621572	1712	1.0	12.171950551982777
71	अधिनियम	148	-1	-69.3381038936401	0.6460178689134458	148	1.0	15.711316186263822
72	अध्ययन	236	-1	228.6253238837726	0.039593019452664614	236	1.0	15.039268068778954
73	अध्यापन	255	-1	-50.2704830920522	0.5392159197780797	255	1.0	14.934510327565826
74	अधिकारी	1312	-1	146.3036000828264	1.5720309207738354	1312	1.0	12.554272476118243
75	अध्यक्षपदी	150	-1	-12.360920429621512	3.554158208767573	150	1.0	15.701730137434625
76	अध्यक्षीय	213	-1	104.07176659515561	1.559092984652855	213	1.0	15.139234976839399
77	अधिकार	737	-1	139.45713195542896	0.003670080811985861	737	1.0	13.38938809137646
78	अध्याय	290	-1	123.3883286884442	0.04353499907547616	290	1.0	14.730681511130754
79	अध्यक्षतेखाली	150	-1	-43.36568668712106	5.0696155889828995	150	1.0	15.701730137434625
80	अधिवेशन	117	-1	-27.734182737374052	1.470623810385537	117	1.0	16.00939753919682
81	अध्यात्म	124	-1	-14.438632383010509	5.054511896064205	124	1.0	15.928907621336448
82	अधिपत्याखाली	120	-1	-42.02102116537455	4.183112953603268	120	1.0	16.021271639485107
83	अधिक्रुत्या	104	-1	-739.0369949535109	9.810653406840105	104	1.0	16.22588935909358
84	अध्यक्षा	111	-1	87.62682138137303	3.134995175240276	111	1.0	16.132779954702098
