	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	alğan	126	-1	159.72045529494886	3.8160137491566792	126	1.0	16.170944324141004
1	ala	370	-1	240.13506809070435	0.007000118858646091	370	1.0	14.624353634292364
2	alar	112	-1	1.190204684468882	7.058785031948771	112	1.0	16.33945004849798
3	alanı	152	-1	170.52255263561852	1.0329774973535295	152	1.0	15.902241168220517
4	alıp	128	-1	37.920288057681326	2.162876360118389	128	1.0	16.148401755489914
5	and	24263	-1	302.81264954684883	0.01263735079229992	24263	1.0	8.593099228288997
6	anı	150	-1	24.020577109900874	4.992733037471771	150	1.0	15.911701497469583
7	anıñ	281	-1	-7.431541670042474	2.8368253799095697	281	1.0	15.020077658514374
8	arasında	243	-1	350.0049175947466	0.14142406169810656	243	1.0	15.217114505573928
9	asteroids	7294	-1	-520.6595014971712	0.00010576545901130885	7403	1.0	10.305539831042594
10	as	133	-1	659.4558117866139	3.6364410469077417	133	1.0	16.093539820455394
11	at	421	-1	512.6550424466662	0.591045156769903	421	1.0	14.43511515779322
12	başqa	173	-1	241.29508746807804	0.11528792927502353	173	1.0	15.708417899080839
13	bar	355	-1	333.1427574694927	0.16044505387952496	355	1.0	14.675813233648912
14	barlıqqa	133	-1	-241.45289663627779	4.459940293229613	133	1.0	16.093539820455394
15	başlıy	174	-1	-17.132210855767894	1.9900618892634052	174	1.0	15.708417899080839
16	baş	138	-1	212.35576143253567	0.902608192053394	138	1.0	16.040687938189663
17	basıp	191	-1	-9.273595047855506	1.0311979402773355	191	1.0	15.574666510192012
18	başqalası	144	-1	-20.548053200135328	4.723050427933534	144	1.0	15.979719920898233
19	belän	1488	-1	106.568967511082	0.40652124500743947	1488	1.0	12.615630560778627
20	berençe	320	-1	-2.145013604264611	2.9675597104095144	338	1.0	14.750238074775465
21	berniçä	121	-1	-193.43570440293675	5.4045706780488825	121	1.0	16.228891673350283
22	ber	379	-1	56.88482009039503	0.7932035558928285	379	1.0	14.570914375330906
