	word	n_samples	wordnet_polysemy	bert_polysemy	surprisal	s_samples	in_vocab	unigram
0	abad	1261	6	444.45022014127875	0.009925480388897814	4927	1.0	11.14134118208689
1	abadi	195	9	269.09403191062734	8.79143654137123	164	1.0	16.040679903986327
2	about	349	0	589.2333214029503	0.5143852919590016	412	1.0	14.718751809098965
3	abu	517	3	408.9397225974231	1.231702936548819	129	1.0	16.3713252159748
4	abjad	110	3	146.46003164564095	0.5792442903467666	110	1.0	16.621303468983147
5	acara	1289	6	408.8373976739279	0.019293834251840232	2917	1.0	11.878500934794657
6	acak	120	1	130.54657782255435	5.339656459291776	120	1.0	16.484981997770365
7	action	217	0	467.59217158535694	0.5598949453609989	143	1.0	16.177314596008173
8	adalah	20935	6	483.2974942388585	0.0076488229682924805	48064	1.0	7.860381272973699
9	ada	2926	38	501.41614107859124	0.020237125295446336	10041	1.0	10.089992265597088
10	adipati	535	0	303.3573230536144	4.878222631907405	154	1.0	16.139594930059015
11	adil	168	10	183.66261420374485	2.4316900995160853	168	1.0	15.964508223500925
12	adegan	420	3	164.80166050213603	0.9987425034655081	420	1.0	14.694620146626066
13	adaptasi	264	3	389.2738156891275	1.354397298022442	281	1.0	15.271061092501371
14	administrasi	412	1	379.4442005877981	6.026513374057309	464	1.0	14.545354615749849
15	administratif	625	1	448.5807663137919	0.06618466617613594	625	1.0	14.123397702531213
16	ad	258	0	606.8448612853409	0.914916366177013	126	1.0	16.427034648561087
17	adik	418	3	351.4744886089318	0.26114838497097115	502	1.0	14.429877398329912
18	adanya	1033	2	388.7501369343911	0.00188193795958569	1648	1.0	12.71962116437739
19	adiknya	262	0	166.70343942426376	5.196921460046113	262	1.0	15.360436899832063
20	adu	129	1	104.84982404264208	4.517943273219028	129	1.0	16.3822963337958
21	adat	555	7	296.7331229054194	0.003637829387350313	945	1.0	13.51938693142331
22	after	269	0	597.8364718615014	0.26952683439497127	220	1.0	15.627816775941822
23	agar	1471	0	416.89745469812294	0.002970977557898202	2510	1.0	12.114794844356952
24	agama	1267	5	398.86863605418955	0.023712961422707582	2410	1.0	12.172545351860302
25	agung	787	13	466.59671011986654	4.760089700015223	294	1.0	15.177314596008173
26	agen	392	10	294.7835305005468	2.898023317434958	392	1.0	14.793667515876876
27	agregat	179	4	55.24349016757242	0.109569287377674	179	1.0	15.923866239003578
28	agak	433	12	399.9726883978012	0.043643679159685096	433	1.0	14.634359621808592
29	against	121	0	612.792332573629	0.5532811343213041	121	1.0	16.484981997770365
30	ahli	676	14	466.80404187507963	0.023964739468166792	1367	1.0	12.975888451351858
31	air	2975	11	474.4059168437125	0.05633303013197246	4384	1.0	11.308175303357267
32	ajang	607	0	272.6249279668415	0.9282102403269322	607	1.0	14.167791821889669
33	ajaran	724	8	338.9178196538909	0.00896141800954455	724	1.0	13.909907781413656
34	ajaib	104	7	26.132614956984195	1.8113377761955445	104	1.0	16.70147381766713
35	akan	961	0	470.262103638045	0.0022619421836715834	13950	1.0	9.63712880945751
36	akhirnya	995	4	323.06441628207205	0.004825820632086056	3375	1.0	11.686948485790587
37	akhir	1010	17	529.0828735211473	0.020138489445000737	3619	1.0	11.577303259535913
38	aktivitas	550	4	305.3120695755049	1.4553464130341232	770	1.0	13.821394731408404
39	akses	511	2	199.28666473250854	0.1760638770487162	511	1.0	14.412904319726197
40	aktor	775	3	422.28556577086596	0.0967538058966483	1168	1.0	13.2185026422232
41	akademisi	122	2	100.58701840243133	4.725438281160886	122	1.0	16.473204829994014
42	aktif	1354	12	383.1627911852637	0.031582659636711	1354	1.0	13.003149488528042
43	aktris	678	1	382.25288460716007	0.06374754792171526	796	1.0	13.777283421342782
44	akademi	503	5	410.5774016590151	0.13787608420496728	154	1.0	16.130317116471005
45	akibat	691	18	434.0152026296184	0.0025600596928881418	1667	1.0	12.7049129016339
46	aksi	437	6	380.1532317815036	0.027943254292032364	611	1.0	14.148932794638352
47	aku	702	1	406.0690155719264	0.05047790723428271	570	1.0	14.248301189501516
48	akting	195	0	166.22449600978862	4.983508725044055	195	1.0	15.801009491218045
49	akademik	281	5	322.25562254334653	0.09356240789790857	281	1.0	15.271061092501371
50	aksara	371	6	336.31495968449127	0.05523693832369952	478	1.0	14.493878398258762
51	akar	309	7	323.96131633639516	0.0691830466907602	309	1.0	15.13494856520265
52	akurat	178	1	133.7218020222639	0.9862428714385193	178	1.0	15.931903558068997
53	akun	200	0	187.75126966972783	7.94853506565094	200	1.0	15.757507852581456
54	akibatnya	267	4	174.79461274687267	9.285168808650194	123	1.0	16.449935050671165
55	akrab	174	5	257.8706105001737	0.09936564436093831	174	1.0	15.948113785250255
56	aktivis	322	1	194.65640754106514	1.0178916508343465	322	1.0	15.080328980639328
57	akal	161	9	179.26818956497027	5.370175374220617	161	1.0	16.058167330715168
58	al	1107	1	563.7904869162242	0.23471699819202077	2300	1.0	12.240793652832574
59	alat	726	20	382.2847957796615	0.013970474402604476	1279	1.0	13.08592299711255
60	album	3252	2	423.0269340140915	0.010021128255889057	3884	1.0	11.47027549895534
61	alternatif	427	2	345.8792073130471	0.11124402306585285	427	1.0	14.657496120606526
62	alias	278	2	307.954682565388	0.4433658937706904	278	1.0	15.291598023504063
63	aliansi	206	2	326.156491749666	7.279894765557312	164	1.0	16.02340191255449
64	aluminium	107	2	232.04239517991218	0.14551116550109047	107	1.0	16.60836441327565
65	also	470	0	629.507887343167	0.32820903209424596	470	1.0	14.53307628597141
66	alam	920	6	477.7184686523355	0.015157663353061188	1694	1.0	12.67509529084384
67	aliran	611	19	413.24505995019365	0.016805058991587213	881	1.0	13.626185690362892
68	alasan	633	17	435.59424749647945	0.001115396799491243	901	1.0	13.5844120915312
69	alih	565	1	351.66605298561154	0.037299854157145776	565	1.0	14.271061092501371
70	alami	563	2	298.816741594686	4.806643826923405	563	1.0	14.273612278030702
71	alur	172	7	102.71733996873473	3.7865090327618947	172	1.0	15.981091107696527
72	all	595	0	661.291060514873	0.7432096374254857	379	1.0	14.84207214783993
73	ala	128	0	324.4759015520755	3.6381429978828237	128	1.0	16.40449207991
74	alt	108	0	267.325307247189	2.512352528667112	108	1.0	16.647535010556325
75	algoritme	101	0	-56.772607790518414	4.191315337572948	101	1.0	16.743293993361757
76	alumni	348	1	200.10284945613066	0.20254305960421334	150	1.0	16.1583314926406
77	alamat	205	12	307.52732386784066	3.6146722606250217	189	1.0	15.830756834612098
78	almarhum	119	2	43.789706501738	1.2587534126614321	119	1.0	16.508828739724734
79	alkohol	221	2	255.8440470356158	0.11335755667940503	221	1.0	15.621303468983147
80	alfabet	111	1	243.35681031544547	0.3021366756546175	111	1.0	16.55773834020568
81	altar	116	2	194.71100658635896	0.49308383260674793	116	1.0	16.545354615749847
82	ambil	114	11	134.20217351039832	3.036945253610611	114	1.0	16.55773834020568
83	am	238	5	594.3941884389357	6.289099661016686	111	1.0	16.60836441327565
84	amatir	122	2	238.81931909161653	2.2586128738876736	122	1.0	16.473204829994014
85	amat	230	10	329.0407713797061	0.17101330725481206	230	1.0	15.557738340205681
86	amal	145	8	203.91026887734	6.185066913736278	145	1.0	16.2062659697043
87	aman	340	10	250.1773477551032	4.564720809810302	340	1.0	14.985266783667722
88	antara	1630	4	572.9729876862777	0.0036805351788323543	9525	1.0	10.18990939470971
89	anggota	2215	6	484.2693466351003	0.02081705631372256	5970	1.0	10.85467010863358
